representation,classifier,protocol,metric,filtered_point,baseline_point,point_difference,bootstrap_mean_difference,bootstrap_std,ci95_low,ci95_high,p_value_two_sided,bootstrap_iterations,unit,interpretation
full_fusion,mlp,S_R,mcc,0.04330747254730604,0.06297042067869933,-0.01966294813139329,-0.019387039132243614,0.017912414976945065,-0.054045875879527715,0.015772468340595997,0.288,2000,subject,CI includes zero
full_fusion,random_forest,R_R,f1,0.44640984946251083,0.5279695910395414,-0.08155974157703061,-0.08124943129332544,0.01228978341691263,-0.10527020582969948,-0.0573356754889609,0.0,2000,subject,CI excludes zero
full_fusion,random_forest,R_R,balanced_accuracy,0.5598687827421266,0.5679321298744855,-0.0080633471323589,-0.00808457729189227,0.00566926858460379,-0.018961761829750737,0.002932102557857215,0.148,2000,subject,CI includes zero
full_fusion,random_forest,R_R,roc_auc,0.612956766340613,0.615997160470398,-0.0030403941297849624,-0.0030173702587093306,0.0043594943085166005,-0.01146509784512386,0.005276111285221185,0.485,2000,subject,CI includes zero
full_fusion,random_forest,R_R,mcc,0.1337477896502971,0.14472788204753867,-0.01098009239724157,-0.011090570152533964,0.011609260239824797,-0.03265674547746851,0.012083057549704419,0.34,2000,subject,CI includes zero
full_fusion,random_forest,S_S,f1,0.4629455238323142,0.5658965694892013,-0.10295104565688712,-0.10327210902291341,0.01415366190210675,-0.13128762984405706,-0.0769015838531938,0.0,2000,subject,CI excludes zero
full_fusion,random_forest,S_S,balanced_accuracy,0.5689305515795942,0.5916149753161518,-0.022684423736557657,-0.0227303373502196,0.005051244018639192,-0.03300937434262178,-0.013390825526309956,0.0,2000,subject,CI excludes zero
full_fusion,random_forest,S_S,roc_auc,0.6247587987925756,0.6317526816496044,-0.006993882857028844,-0.006913098310419408,0.004634648840781404,-0.01617489577002296,0.0019935318528195127,0.136,2000,subject,CI includes zero
full_fusion,random_forest,S_S,mcc,0.148407804152672,0.1920948440703997,-0.04368703991772771,-0.043675120597203416,0.01056675398451799,-0.06512719258553132,-0.02397926727232167,0.0,2000,subject,CI excludes zero
full_fusion,random_forest,R_S,f1,0.14826587295593574,0.24375664856433327,-0.09549077560839753,-0.09488335543570724,0.01969878161107953,-0.13503276327175404,-0.053670994034645314,0.0,2000,subject,CI excludes zero
full_fusion,random_forest,R_S,balanced_accuracy,0.5132434862178306,0.519603665883372,-0.006360179665541477,-0.006103966866139887,0.0068530754351293285,-0.018277844232287812,0.008419794632771207,0.355,2000,subject,CI includes zero
full_fusion,random_forest,R_S,roc_auc,0.6079018013584631,0.5890811223225431,0.018820679035919996,0.018945344592290227,0.006595931111105759,0.0069549870733850265,0.03251506090597187,0.003,2000,subject,CI excludes zero
full_fusion,random_forest,R_S,mcc,0.04899782013658859,0.05259836139396049,-0.0036005412573719003,-0.0029469205624536744,0.019481057364537945,-0.0370634847213665,0.04022081755192082,0.802,2000,subject,CI includes zero
full_fusion,random_forest,S_R,f1,0.14652427460287928,0.2959170254946805,-0.14939275089180123,-0.14896468592335343,0.018849131635673748,-0.18527437591780438,-0.11218388108829441,0.0,2000,subject,CI excludes zero
full_fusion,random_forest,S_R,balanced_accuracy,0.5097867994298314,0.5217882162330268,-0.012001416803195442,-0.011861006709697655,0.006705678778542724,-0.025374416466383796,0.0005353781082234267,0.062,2000,subject,CI includes zero
full_fusion,random_forest,S_R,roc_auc,0.5737435059731139,0.5668258758729262,0.006917630100187644,0.0069398998569134025,0.00911705562999538,-0.010709176091548379,0.02503170653283838,0.44,2000,subject,CI includes zero
full_fusion,random_forest,S_R,mcc,0.02434933445856964,0.04947673151928215,-0.025127397060712507,-0.024931393139391134,0.01636032621077674,-0.05744782657654143,0.007148758032617752,0.134,2000,subject,CI includes zero
full_fusion,xgboost,R_R,f1,0.4261698445622391,0.536344721813834,-0.11017487725159486,-0.1098668964678931,0.013314573354816697,-0.1358841774062989,-0.08394967913240685,0.0,2000,subject,CI excludes zero
full_fusion,xgboost,R_R,balanced_accuracy,0.5623891494642297,0.5723998638340422,-0.01001071436981249,-0.009864767197766211,0.005391500729217817,-0.02126492255229536,0.0003355577602748865,0.058,2000,subject,CI includes zero
full_fusion,xgboost,R_R,roc_auc,0.6214482537787894,0.6218681584641266,-0.00041990468533714687,-0.0003145668360465218,0.004832120434604402,-0.009853547785766885,0.008830419905965968,0.954,2000,subject,CI includes zero
full_fusion,xgboost,R_R,mcc,0.1422996356212358,0.1567111334732868,-0.014411497852051008,-0.014136471539070805,0.010386092305051171,-0.03608837111035976,0.005745043017863926,0.16,2000,subject,CI includes zero
full_fusion,xgboost,S_S,f1,0.44498974665175306,0.5702845272885622,-0.1252947806368091,-0.12511753721858634,0.01729163969244393,-0.15922998693706958,-0.09258069661870809,0.0,2000,subject,CI excludes zero
full_fusion,xgboost,S_S,balanced_accuracy,0.5665727435732156,0.5958871489454555,-0.029314405372239838,-0.029319730204977548,0.008317479686652795,-0.045548162309708214,-0.01315596265417431,0.0,2000,subject,CI excludes zero
full_fusion,xgboost,S_S,roc_auc,0.6336634296111349,0.6441655953756233,-0.01050216576448848,-0.010611596749331053,0.004554871529776271,-0.019700953663428295,-0.001866051852961228,0.017,2000,subject,CI excludes zero
full_fusion,xgboost,S_S,mcc,0.14713651947207465,0.19911749074940108,-0.051980971277326427,-0.051956371578565794,0.017598393380022823,-0.08704865703709316,-0.017764482265801396,0.001,2000,subject,CI excludes zero
full_fusion,xgboost,R_S,f1,0.21931874718802571,0.2053401903880496,0.013978556799976116,0.01367700801013564,0.017564914754160207,-0.02100687068090253,0.0478598959143302,0.423,2000,subject,CI includes zero
full_fusion,xgboost,R_S,balanced_accuracy,0.5218496918775475,0.5206025548100288,0.0012471370675186666,0.0011934025259599458,0.004944886864432166,-0.008686418189035828,0.010998112983682239,0.802,2000,subject,CI includes zero
full_fusion,xgboost,R_S,roc_auc,0.6132609361776472,0.5989447895517507,0.01431614662589653,0.014261580914467206,0.00621508412240859,0.0018660961603441334,0.026480783725298437,0.024,2000,subject,CI excludes zero
full_fusion,xgboost,R_S,mcc,0.05981723754719423,0.04855514262723246,0.011262094919961767,0.010970256346332261,0.014746935226783988,-0.01792905321356768,0.039560384090918735,0.461,2000,subject,CI includes zero
