representation,classifier,protocol,metric,ablation_point,full_fusion_point,point_difference,bootstrap_mean_difference,bootstrap_std,ci95_low,ci95_high,p_value_two_sided,bootstrap_iterations,unit,interpretation
full_minus_data2vec_audio,xgboost,S_R,mcc,0.07601707148813538,0.0478621748721494,0.028154896615985983,0.028113371506236638,0.014263566694325611,0.0020673325931245216,0.05845518187014683,0.038,2000,subject,CI excludes zero
full_minus_data2vec_spectrogram,svm_rbf,R_S,f1,0.17753093605945158,0.21178096425358872,-0.03425002819413714,-0.03431118518395032,0.01889257295138515,-0.0726733506636939,-0.00064989227312051,0.045,2000,subject,CI excludes zero
full_minus_data2vec_spectrogram,svm_rbf,R_S,balanced_accuracy,0.5157808829595601,0.5194993168120328,-0.0037184338524726135,-0.003787264910254748,0.004697777377272978,-0.013586476780761985,0.004831558617530557,0.42,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,svm_rbf,R_S,roc_auc,0.5804501083837713,0.5821216957775239,-0.001671587393752616,-0.001936447697263277,0.008029126983920686,-0.01794060446292405,0.014234595227836896,0.806,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,svm_rbf,R_S,mcc,0.030831733588927202,0.032854395348030016,-0.002022661759102814,-0.0022316162026832283,0.015050052795876514,-0.03311367955102775,0.025950948564295244,0.899,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,svm_rbf,S_R,f1,0.322279841281237,0.3002776476626214,0.022002193618615606,0.022297522957106474,0.019434482234523726,-0.01406419288396994,0.06182957002732073,0.242,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,svm_rbf,S_R,balanced_accuracy,0.5334364848455218,0.535630326808969,-0.002193841963447296,-0.0020371147872507264,0.005752224255069077,-0.014126288703043865,0.008363411361942037,0.767,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,svm_rbf,S_R,roc_auc,0.581350182294367,0.5845537286986863,-0.003203546404319302,-0.002955979390634802,0.005600084921422889,-0.01337751141102315,0.008225730839563457,0.582,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,svm_rbf,S_R,mcc,0.07278871433084178,0.07042261008092886,0.0023661042499129176,0.0028049467212812144,0.014259855761033726,-0.026401177408678457,0.029497371563501216,0.814,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,mlp,R_R,f1,0.532502675264854,0.5654573614497161,-0.03295468618486219,-0.03324168152536346,0.012526278049605556,-0.05908099047888307,-0.009030408059412822,0.004,2000,subject,CI excludes zero
full_minus_data2vec_spectrogram,mlp,R_R,balanced_accuracy,0.5600418818679246,0.5676393968931283,-0.007597515025203672,-0.007566261479564354,0.006338327890454552,-0.019690865942672456,0.005143892691123123,0.231,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,mlp,R_R,roc_auc,0.6014532760085599,0.6168626066818165,-0.01540933067325656,-0.015328591366005596,0.009267924443550327,-0.03337970043724477,0.001747216658388896,0.091,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,mlp,R_R,mcc,0.12957343559133405,0.1458021825215162,-0.016228746930182142,-0.016163923852475698,0.014035822091618617,-0.04327010112464283,0.011375293313426427,0.244,2000,subject,CI includes zero
