representation,protocol,fold,feature_dimension,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,macro_f1,mcc,cohen_kappa,roc_auc,tn,fp,fn,tp,n
full_fusion_v2_pca_384,S_R,4,384,0.48823985525975705,0.5003013341589942,0.5294117647058824,0.009081735620585268,0.9915209326974033,0.017857142857142856,0.33591214360613175,0.003227706180915925,0.0005881180327320656,0.5537737090090624,1871.0,16.0,1964.0,18.0,3869.0
full_fusion_pca_1536,R_S,1,1536,0.4964912280701754,0.5,0.0,0.0,1.0,0.0,0.33177022274325907,0.0,0.0,0.5060505112154317,1981.0,0.0,2009.0,0.0,3990.0
full_fusion_v2_pca_1536,S_R,1,1536,0.5035087719298246,0.5,0.5035087719298246,1.0,0.0,0.6697782963827305,0.3348891481913652,0.0,0.0,0.5002523977788995,0.0,1981.0,0.0,2009.0,3990.0
full_fusion_v2_pca_384,R_S,2,384,0.49798285426122035,0.5002441376448041,0.5714285714285714,0.002008032128514056,0.9984802431610942,0.00400200100050025,0.33421067520107606,0.005816225238400927,0.00048606696635744573,0.5175515893360677,1971.0,3.0,1988.0,4.0,3966.0
full_fusion_v2_pca_768,R_S,3,768,0.5020151133501259,0.5,0.0,0.0,1.0,0.0,0.3342277377159148,0.0,0.0,0.5090158752396159,1993.0,0.0,1977.0,0.0,3970.0
full_fusion_v2_pca_384,S_R,0,384,0.5306020484636522,0.5361931690510074,0.5130081300813009,0.9584810126582278,0.11390532544378698,0.6683142100617829,0.43283288461226693,0.13479965492520765,0.07157419710806467,0.5559216538087034,231.0,1797.0,82.0,1893.0,4003.0
full_fusion_v2_pca_768,S_R,1,768,0.5035087719298246,0.5,0.5035087719298246,1.0,0.0,0.6697782963827305,0.3348891481913652,0.0,0.0,0.5408555241946325,0.0,1981.0,0.0,2009.0,3990.0
full_fusion_v2_pca_768,S_R,2,768,0.5022692889561271,0.5,0.5022692889561271,1.0,0.0,0.6686807653575025,0.33434038267875127,0.0,0.0,0.5295299739993408,0.0,1974.0,0.0,1992.0,3966.0
full_fusion_pca_768,R_S,0,768,0.5066200349737696,0.5,0.0,0.0,1.0,0.0,0.33626264301110925,0.0,0.0,0.5192830749257233,2028.0,0.0,1975.0,0.0,4003.0
full_fusion_v2_pca_1536,R_S,1,1536,0.4964912280701754,0.5,0.0,0.0,1.0,0.0,0.33177022274325907,0.0,0.0,0.5070266838097817,1981.0,0.0,2009.0,0.0,3990.0
full_fusion_pca_768,S_R,4,768,0.5122770741793745,0.5,0.5122770741793745,1.0,0.0,0.6774910271748419,0.33874551358742094,0.0,0.0,0.527911778342122,0.0,1887.0,0.0,1982.0,3869.0
