representation,classifier,protocol,folds,feature_dimension,f1_mean,f1_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,mcc_mean,mcc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std
data2vec_spectrogram,mlp,R_S,5,768,0.32174597237431596,0.15658428313251468,0.5366997058563813,0.05065320024427921,0.5869316375265798,0.05103464832301517,0.08653613274180376,0.10016226472281244,0.24226531892403255,0.16712193268209308,0.8311340927887299,0.09073446014303065
data2vec_spectrogram,mlp,S_R,5,768,0.49938138757422185,0.13161314285489897,0.5385183511801324,0.02798861641675345,0.5563718235658617,0.0409540637032548,0.08660528800726966,0.06795141781959328,0.5023689330377301,0.24673479668598447,0.5746677693225346,0.19688875138794057
data2vec_spectrogram,mlp,S_S,5,768,0.5397397322932191,0.07195150181222809,0.5792854778822405,0.03394184916836669,0.618012336225475,0.038535718911967755,0.1632549590489795,0.06915189858978114,0.5037955758013845,0.12672013978633662,0.6547753799630966,0.08441679103272087
data2vec_spectrogram,random_forest,R_R,5,768,0.5369784968013838,0.015357311372495814,0.5597329327966463,0.013785766119200536,0.5979202925244076,0.025964529824030885,0.12064424947375083,0.028437422347612963,0.5106310129524395,0.041335501940643636,0.6088348526408529,0.060375408697739136
data2vec_spectrogram,random_forest,R_S,5,768,0.22658861564663116,0.05160185803565035,0.5261232370206858,0.01908111601616742,0.5975085505492881,0.06158718500114571,0.082846686747361,0.0616672746859015,0.13996601283783508,0.03802958633889636,0.9122804612035365,0.032984249960026024
data2vec_spectrogram,random_forest,S_R,5,768,0.316377693488607,0.12101029843261024,0.5134550774828918,0.027141788342861604,0.540117693757681,0.040316001485660904,0.02971394211609596,0.06180658414551088,0.24069255616005653,0.13599445981838182,0.7862175988057271,0.09838985754374217
data2vec_spectrogram,random_forest,S_S,5,768,0.5455495585809785,0.04478655556691167,0.5752955585455811,0.010323268705578429,0.6186532409222238,0.013654014072523158,0.1528948298649252,0.019177208008244795,0.5140140247654336,0.0828611199013129,0.6365770923257283,0.06357672226130628
data2vec_spectrogram,svm_rbf,R_R,5,768,0.5474890138192522,0.013520521578823334,0.5777444300165392,0.01610929379539565,0.6263954389444983,0.030014472316226316,0.15759599496034088,0.03369613696430692,0.5103635093973619,0.03455873667124565,0.6451253506357167,0.057277330526994075
data2vec_spectrogram,svm_rbf,R_S,5,768,0.10181753536245627,0.06307230069462737,0.5084766026647628,0.009074980016959435,0.5606770954507727,0.02921725844601724,0.04094002096663938,0.03472594289229835,0.057609535060601604,0.04026319052521999,0.9593436702689241,0.02993838644834074
data2vec_spectrogram,svm_rbf,S_R,5,768,0.4308899141641079,0.10310364688178592,0.5310121849740057,0.01823718388123289,0.5611955773622477,0.028543564706520603,0.06568801685546385,0.03513578234802977,0.37037080060786226,0.12846655573753316,0.6916535693401494,0.10347034764730083
data2vec_spectrogram,svm_rbf,S_S,5,768,0.5390767490053712,0.059085369455270216,0.5874051420788193,0.02799895968852782,0.6281842625752133,0.028776209739862897,0.1798143546605399,0.05594587068756099,0.48816687909100087,0.09611530647887004,0.6866434050666376,0.06568091610423654
data2vec_spectrogram,xgboost,R_R,5,768,0.570111167873897,0.015584377889123688,0.5800852232950899,0.019007949949870664,0.6174915749729537,0.019788497355920996,0.16060773879519702,0.03821141539250709,0.5554169512060554,0.026222784091642845,0.6047534953841244,0.04386272684539008
