representation,classifier,protocol,fold,dimension,metric,fixed_point,baseline_point,point_difference,bootstrap_mean_difference,bootstrap_std,ci95_low,ci95_high,p_value_two_sided,bootstrap_iterations,unit,interpretation
full_fusion,svm_rbf,S_R,1,1536,f1,0.46783230010022897,0.674708136644643,-0.20687583654441405,-0.20735117965710567,0.07428389319436277,-0.35314433994926003,-0.06919700532275111,0.001,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,1,1536,balanced_accuracy,0.5507489473947387,0.5,0.050748947394738675,0.05037604050390381,0.027857222847465536,0.0004188349288196289,0.10879548033964692,0.047,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,1,1536,roc_auc,0.5532220372125053,0.5006757546535754,0.0525462825589299,0.052020865319285944,0.04008020138974956,-0.020887051350231257,0.13154723077502575,0.198,2000,subject,CI includes zero
full_fusion,svm_rbf,S_R,1,1536,mcc,0.10604655612865464,0.0,0.10604655612865464,0.10516514864676682,0.059688931760558214,-0.0037484052269184513,0.23091119377741912,0.06,2000,subject,CI includes zero
full_fusion,svm_rbf,S_R,2,384,f1,0.49221462767138696,0.08891328239395171,0.4033013452774352,0.403333511777755,0.052719877549058325,0.29078682389203975,0.49083798233054793,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,2,384,balanced_accuracy,0.5599597803820737,0.5037392470035227,0.05622053337855104,0.05663902551960656,0.010663398690979549,0.03638191168662661,0.07898010296762947,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,2,384,roc_auc,0.5945510516193573,0.5641200079235897,0.030431043695767546,0.030395313026964587,0.020418069440790068,-0.008031731237348783,0.07052233151816958,0.143,2000,subject,CI includes zero
full_fusion,svm_rbf,S_R,2,384,mcc,0.12506239325882582,0.022828355940780153,0.10223403731804566,0.10262859304743145,0.016491260079364085,0.06722936593613546,0.13177887490211843,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,2,768,f1,0.31412777214307974,0.6707415468072906,-0.35661377466421085,-0.35610833211878723,0.05858398899451099,-0.46829961283460836,-0.24491802277401484,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,2,768,balanced_accuracy,0.5083175794812801,0.5,0.00831757948128009,0.008632161069122806,0.017842706283923204,-0.024613666657009557,0.04387199480976901,0.649,2000,subject,CI includes zero
full_fusion,svm_rbf,S_R,2,768,roc_auc,0.5430115371466946,0.542466314761646,0.000545222385048616,0.0006181876189258876,0.021812163915736177,-0.04154666041368404,0.042628421298500425,0.984,2000,subject,CI includes zero
full_fusion,svm_rbf,S_R,2,768,mcc,0.005146205952629736,0.0,0.005146205952629736,0.005759286490954439,0.041003783998793904,-0.07093255038215902,0.08745403686410047,0.885,2000,subject,CI includes zero
full_fusion,svm_rbf,S_R,2,1536,f1,0.35420043442230165,0.6707415468072906,-0.31654111238498894,-0.3172227083146326,0.054841764297783736,-0.4329879583036417,-0.22259710251018555,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,2,1536,balanced_accuracy,0.5379511387316932,0.5,0.0379511387316932,0.038620074277783974,0.013960904486811072,0.009758763475831277,0.06407561960773199,0.007,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,2,1536,roc_auc,0.5699694949528673,0.49980345911949686,0.07016603583337044,0.07085405532256243,0.017539051420854334,0.034490166778871886,0.10519762191797391,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,2,1536,mcc,0.08327421708471403,0.0,0.08327421708471403,0.08477726421379003,0.03062098626906626,0.02029952278296672,0.14019055789762205,0.008,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,3,384,f1,0.5013766220060402,0.31264926576431296,0.1887273562417272,0.18900073596462927,0.02783278821065748,0.1336799687870369,0.24379410491075587,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,3,384,balanced_accuracy,0.576639318719895,0.5334969539927101,0.04314236472718491,0.04317951026618403,0.009732606914587829,0.02353972243412121,0.060886530905418595,0.0,2000,subject,CI excludes zero
