pc1,pc2,device,label
0.35397276,-0.41708377,S,0
1.8807379,-0.39861253,S,1
-4.4979267,1.7887737,S,1
3.8724823,0.105922066,R,1
2.442314,-0.72686154,S,1
-0.49368018,-0.058900308,S,0
1.0719534,-1.1742364,R,0
-0.31423226,-0.4856922,S,0
-3.950301,1.8462417,S,0
1.8898517,-0.72370625,S,0
-3.7764566,2.2739806,R,0
2.2120433,-0.44751227,S,0
-5.0812154,0.831269,S,0
3.834161,0.14945331,R,1
1.7986317,-0.72804326,R,0
3.7812684,0.28335318,R,1
3.74508,0.058773432,R,0
1.6921667,-0.9104518,R,0
-0.0034586224,0.27656415,S,0
-1.2956119,0.3090808,S,0
4.11923,0.4113305,R,1
2.9932234,-0.26145774,S,1
3.98107,0.5730896,R,1
3.731439,0.16621989,R,1
1.0443376,-0.38972506,S,0
3.8217256,0.40038863,R,1
3.8506048,0.14368854,R,1
2.31632,-0.67131543,S,0
0.8575724,-0.027225861,S,1
-0.94442755,0.4063408,S,0
2.8454618,-0.4977109,S,0
3.8142006,0.17070872,R,1
-4.4989014,1.4663147,S,1
-3.9876564,2.2908375,S,1
-4.429648,1.9379383,S,1
2.6822293,-0.45691562,S,1
3.5613465,0.42776644,R,0
3.8514185,0.18057416,R,1
-1.6154037,-1.7684971,R,1
3.8740637,0.15162078,R,1
-3.8361475,0.061795816,S,0
3.91172,0.00016500059,R,1
-4.0808945,2.2299435,S,0
3.9968805,0.22499125,R,1
-1.1522435,0.6398212,S,0
2.4380763,-0.07065484,S,1
3.890599,0.24776138,R,1
1.9530948,0.123401634,S,0
3.7185895,0.12203106,R,1
3.961525,0.22138858,R,1
3.7810197,0.27382845,R,1
3.4067698,-0.08117274,R,1
-2.3168275,0.31963253,S,0
-2.556183,-0.5030886,S,0
3.7321372,0.27586353,R,1
1.8372141,-0.48247734,R,0
-4.2838473,1.5315249,S,1
3.829615,0.24607615,R,1
-3.8750083,1.2339776,S,0
-3.681577,0.66052544,R,0
-1.5784409,-0.30786422,S,0
-3.0522895,1.9899151,S,0
-4.684065,-0.06011453,S,0
-4.065497,0.69793904,S,0
2.564089,-0.3814826,R,0
-3.5052633,-0.294015,R,1
1.4390986,-3.607842,S,0
-2.7730489,-1.564245,S,1
-2.8599737,-1.234083,R,1
-0.3601877,-1.0614656,R,1
-5.596062,1.9511164,S,0
-3.9346128,-0.26672536,S,0
-2.5270436,0.012653866,R,0
-4.4341917,0.032969993,S,1
-1.504474,-0.67537796,R,0
-2.4660726,-0.1381678,S,1
3.6395712,-0.019679919,R,0
-1.4250938,-1.4938107,S,0
3.7455316,0.5961303,R,0
3.3923721,0.018060884,R,1
-0.82548213,-0.7647353,S,0
-4.823185,2.215654,S,1
-5.6800804,0.7615562,R,1
3.7520134,0.3871845,R,0
0.71915096,-0.72135526,R,1
3.9456322,0.24474636,R,1
2.6117597,-0.17808129,R,0
-1.9867407,-2.1059477,S,0
-2.0636864,-0.82373637,S,0
-3.196703,2.0500395,S,0
-0.49607453,-1.4757485,R,0
-4.0265856,-1.6189338,S,0
3.0093286,-0.21628205,R,0
-3.1267402,-0.951041,R,0
-4.2253394,2.0281808,S,0
-3.9654372,0.8404312,R,0
1.9278896,-0.38669163,R,0
3.671825,0.59104985,R,0
-2.4226785,0.299497,R,0
-3.2584445,-1.1365224,S,0
-4.3091025,-0.21025695,R,1
-1.6610047,-1.0458792,R,0
3.5711093,-0.23229732,R,0
3.1937523,-0.022611283,R,0
-1.6590431,-2.7256413,S,1
1.3782881,-3.3809688,S,1
2.5404277,-0.4514756,R,0
-2.3224313,-2.29634,S,0
-5.6698666,0.6656304,R,1
-4.3796597,0.21869996,S,1
-2.245959,2.009515,S,0
-3.4556973,-0.96297485,S,0
3.7511227,0.2949603,R,0
2.4920926,-0.30385235,R,0
2.4099581,-0.2815884,R,0
-1.3801593,-2.1917841,S,0
-1.4300891,-0.87566614,R,1
3.3950474,0.29562807,R,0
-1.1174562,0.024964659,R,0
4.0076127,-0.05885093,R,0
-2.828676,-1.947698,S,0
1.0411464,-0.7923184,R,1
-4.569444,1.968419,S,1
-4.4571495,0.45814455,S,1
3.9180875,0.36570668,R,0
-3.865035,1.8662239,S,0
-5.1863523,-0.35398012,S,0
1.8163446,-0.7840503,R,1
-3.6161485,-0.9313178,S,1
1.6977108,-0.7603935,R,1
3.607937,0.12778099,R,0
-2.8936174,-0.7075912,R,0
-3.047862,-0.84543496,R,1
3.3006263,-0.53641135,R,0
-1.334965,-3.499019,S,0
-1.6040152,-1.456092,R,1
-4.0283556,0.27294186,S,1
1.395078,-1.6719562,R,0
-1.0440519,-2.3157601,S,1
-4.954539,1.0100901,S,0
2.1038506,-0.26860684,R,0
1.135978,-3.724095,S,0
2.7351925,-1.436156,R,0
-1.1338722,-1.2651393,R,1
-3.6021402,1.1605175,S,0
-4.3663764,2.3573248,S,1
-4.7613907,1.2358513,S,1
-4.574755,1.7670753,R,1
1.7384857,-1.7787378,R,0
-2.35049,-2.1663427,S,1
-2.6032357,-1.8105197,S,1
-3.3875253,1.4493867,S,0
1.0759038,-3.4531534,S,0
0.6309645,-0.8882558,R,0
0.999095,-3.4652786,S,1
-4.9471183,0.57858783,S,0
2.0312307,-0.44155756,R,1
-3.6463122,0.50598425,R,1
-3.2514255,0.5174495,R,0
-1.724599,1.4585162,S,0
-2.003133,-1.1311435,S,0
-0.6237077,-1.49976,R,0
-0.28387395,-0.6070162,R,1
-0.21506953,-3.3810573,S,0
-1.071764,-0.9727487,R,1
-5.076864,0.8994925,R,0
3.12671,0.054204285,R,0
-1.4282979,-1.6467685,S,0
0.85952795,-2.4221358,R,0
3.7663677,0.23909055,R,0
-4.802816,0.9078307,R,1
2.3869271,-0.75133497,R,0
4.0639668,0.15992355,R,0
-3.648402,-0.66522706,R,1
0.53185415,-2.5502598,S,1
3.3665013,0.35636887,R,1
-4.704095,1.0496802,R,1
-2.1985023,-2.2428901,S,0
3.5240643,-0.069003314,R,1
-4.7246714,1.4962368,S,1
-1.8549552,-1.9868625,S,1
3.7956781,0.42237893,R,0
-5.466689,-2.3237522,R,0
3.9766026,1.974438,R,0
2.4905453,1.8321637,R,0
4.2383685,1.7211986,R,0
1.4622742,-3.7232697,S,0
4.177608,0.9969801,R,1
0.45824382,-3.251264,S,1
1.3025483,-3.4901643,S,1
3.6332664,2.3487985,R,1
4.0611873,0.9484251,R,0
4.245711,1.0972286,R,0
3.9816296,1.4865878,R,1
4.204703,1.8775573,R,1
-2.8397892,2.2223396,R,0
3.609339,1.7954096,R,0
-2.3573253,0.81412464,R,0
3.4651492,1.3286499,R,1
-4.0704722,2.4561,R,0
-3.896628,2.799726,S,0
-2.924302,1.047147,S,0
1.8230499,1.9789668,S,0
-3.5760381,1.2776926,S,0
-0.2582846,1.7605716,S,0
-1.3657748,0.09575569,R,0
0.4321644,1.7422044,S,0
3.2951136,1.4785275,R,1
2.0451534,1.6235858,R,1
1.9699959,1.5765678,R,1
