subject_id,device,source_file,original_sr,channels,format,duration_sec,processed_sr,alignment_status
34,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/34/34_recorder_1.wav,8000,1,PCM16 mono WAV,33552.96,16000,read_ok
34,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/34/34_recorder_2.wav,8000,1,PCM16 mono WAV,7020.992,16000,read_ok
35,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/35/35_phone.wav,8000,1,PCM16 mono WAV,40592.496,16000,read_ok
35,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/35/35_recorder_1.wav,8000,1,PCM16 mono WAV,33552.896,16000,read_ok
35,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/35/35_recorder_2.wav,8000,1,PCM16 mono WAV,4826.624,16000,read_ok
36,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/36/36_phone.wav,8000,1,PCM16 mono WAV,38705.664,16000,read_ok
36,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/36/36_recorder_1.wav,8000,1,PCM16 mono WAV,33552.832,16000,read_ok
36,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/36/36_recorder_2.wav,8000,1,PCM16 mono WAV,5138.24,16000,read_ok
37,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/37/37_phone.wav,8000,1,PCM16 mono WAV,42185.28,16000,read_ok
37,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/37/37_recorder_1.wav,8000,1,PCM16 mono WAV,33552.896,16000,read_ok
37,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/37/37_recorder_2.wav,8000,1,PCM16 mono WAV,8634.24,16000,read_ok
38,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/38/38_phone.wav,8000,1,PCM16 mono WAV,55542.56,16000,read_ok
38,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/38/38_recorder_1.wav,8000,1,PCM16 mono WAV,33552.896,16000,read_ok
38,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/38/38_recorder_2.wav,8000,1,PCM16 mono WAV,21971.968,16000,read_ok
39,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/39/39_phone.wav,8000,1,PCM16 mono WAV,40490.24,16000,read_ok
39,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/39/39_recorder_1.wav,8000,1,PCM16 mono WAV,33552.96,16000,read_ok
39,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/39/39_recorder_2.wav,8000,1,PCM16 mono WAV,6871.936,16000,read_ok
40,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/40/40_phone.wav,8000,1,PCM16 mono WAV,37965.384,16000,read_ok
40,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/40/40_recorder_1.wav,8000,1,PCM16 mono WAV,33552.832,16000,read_ok
40,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/40/40_recorder_2.wav,8000,1,PCM16 mono WAV,4396.608,16000,read_ok
41,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/41/41_phone.wav,8000,1,PCM16 mono WAV,35648.064,16000,read_ok
41,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/41/41_recorder_1.wav,8000,1,PCM16 mono WAV,33552.896,16000,read_ok
41,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/41/41_recorder_2.wav,8000,1,PCM16 mono WAV,2077.248,16000,read_ok
42,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/42/42_phone.wav,8000,1,PCM16 mono WAV,51172.64,16000,read_ok
42,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/42/42_recorder_1.wav,8000,1,PCM16 mono WAV,33552.896,16000,read_ok
42,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/42/42_recorder_2.wav,8000,1,PCM16 mono WAV,17610.24,16000,read_ok
43,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/43/43_phone.wav,8000,1,PCM16 mono WAV,38058.936,16000,read_ok
43,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/43/43_recorder_1.wav,8000,1,PCM16 mono WAV,33552.896,16000,read_ok
43,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/43/43_recorder_2.wav,8000,1,PCM16 mono WAV,4476.48,16000,read_ok
44,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/44/44_phone.wav,8000,1,PCM16 mono WAV,38846.24,16000,read_ok
44,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/44/44_recorder_1.wav,8000,1,PCM16 mono WAV,33552.896,16000,read_ok
44,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/44/44_recorder_2.wav,8000,1,PCM16 mono WAV,5228.288,16000,read_ok
45,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/45/45_phone.wav,8000,1,PCM16 mono WAV,40373.232,16000,read_ok
45,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/45/45_recorder_1.wav,8000,1,PCM16 mono WAV,33552.832,16000,read_ok
45,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/45/45_recorder_2.wav,8000,1,PCM16 mono WAV,6767.808,16000,read_ok
46,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/46/46_phone.wav,8000,1,PCM16 mono WAV,40113.936,16000,read_ok
46,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/46/46_recorder_1.wav,8000,1,PCM16 mono WAV,33552.896,16000,read_ok
46,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/46/46_recorder_2.wav,8000,1,PCM16 mono WAV,6548.864,16000,read_ok
47,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/47/47_phone.wav,8000,1,PCM16 mono WAV,36375.2,16000,read_ok
47,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/47/47_recorder_1.wav,8000,1,PCM16 mono WAV,33552.896,16000,read_ok
47,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/47/47_recorder_2.wav,8000,1,PCM16 mono WAV,2761.024,16000,read_ok
48,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/48/48_phone.wav,8000,1,PCM16 mono WAV,35550.792,16000,read_ok
48,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/48/48_recorder_1.wav,8000,1,PCM16 mono WAV,33552.896,16000,read_ok
48,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/48/48_recorder_2.wav,8000,1,PCM16 mono WAV,1980.288,16000,read_ok
49,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/49/49_phone.wav,8000,1,PCM16 mono WAV,37871.36,16000,read_ok
49,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/49/49_recorder_1.wav,8000,1,PCM16 mono WAV,7200.128,16000,read_ok
49,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/49/49_recorder_2.wav,8000,1,PCM16 mono WAV,7200.0,16000,read_ok
49,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/49/49_recorder_3.wav,8000,1,PCM16 mono WAV,7200.0,16000,read_ok
49,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/49/49_recorder_4.wav,8000,1,PCM16 mono WAV,7200.128,16000,read_ok
49,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/49/49_recorder_5.wav,8000,1,PCM16 mono WAV,7200.0,16000,read_ok
49,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/49/49_recorder_6.wav,8000,1,PCM16 mono WAV,1831.744,16000,read_ok
50,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/50/50_phone.wav,8000,1,PCM16 mono WAV,39112.8,16000,read_ok
50,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/50/50_recorder_1.wav,8000,1,PCM16 mono WAV,7200.128,16000,read_ok
50,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/50/50_recorder_2.wav,8000,1,PCM16 mono WAV,7200.0,16000,read_ok
50,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/50/50_recorder_3.wav,8000,1,PCM16 mono WAV,7200.128,16000,read_ok
50,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/50/50_recorder_4.wav,8000,1,PCM16 mono WAV,7200.128,16000,read_ok
50,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/50/50_recorder_5.wav,8000,1,PCM16 mono WAV,7200.064,16000,read_ok
50,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/50/50_recorder_6.wav,8000,1,PCM16 mono WAV,3048.896,16000,read_ok
